demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.5375621,0.0,0.0,0.0,0.0,0.09289282,0.0,0.0,0.0,0.0,0.1646545,0.0,0.0,0.0,0.0
0.7248133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941771,0.0,0.0,0.0,0.0
0.011177909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23715004,0.0,0.0,0.0,0.0
0.022325769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28543377,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06967333,0.0,0.0,0.0,0.0,0.37234446,0.0,0.0,0.0,0.0
0.022325769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29012218,0.0,0.0,0.0,0.0
0.019501245,0.0,0.0,0.0,0.0,0.0,0.0,6.1216623e-09,0.0,0.0,0.21258831,0.0,0.0,0.0,0.0
0.12569137,0.0,0.0,0.0,0.0,0.0,0.0,2.499144e-08,0.0,0.0,0.5869621,0.0,0.0,0.0,0.0
0.0,0.0,4.9112455e-08,0.0,0.0,0.0,0.0,3.3208632e-08,0.0,0.0,0.24337794,0.0,0.0,0.0,0.0
0.10054108,0.0,3.569332e-07,0.0,0.0,0.02321949,0.0,5.897814e-08,0.0,0.0,0.72033715,0.0,0.0,0.0,0.0
0.0,0.0,4.7679737e-07,0.0,0.0,0.011609745,0.0,5.7103815e-08,0.0,0.0,0.34071514,0.0,0.0,0.0,0.0
0.011177909,0.0,4.808939e-07,0.0,0.0,0.06924224,0.0,4.6085628e-08,0.0,0.0,0.3001988,0.0,0.0,0.0,0.0
