bulk_species_node [MG] at P @ dist356,bulk_species_node [MG] at Chlorine @ dist356,bulk_species_node [MG] at P @ dist399,bulk_species_node [MG] at Chlorine @ dist399,bulk_species_node [MG] at P @ dist485,bulk_species_node [MG] at Chlorine @ dist485,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at P @ dist1028,bulk_species_node [MG] at Chlorine @ dist1028,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at P @ dist1363,bulk_species_node [MG] at Chlorine @ dist1363,bulk_species_node [MG] at P @ dist1459,bulk_species_node [MG] at Chlorine @ dist1459,bulk_species_node [MG] at P @ dist1464,bulk_species_node [MG] at Chlorine @ dist1464,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.982824e-05,0.0,0.0,0.0,1.8944378e-05,0.0,4.9996497e-06,0.0,2.2717122e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882326e-05,0.0,0.0,0.0,3.0989784e-05,0.0,9.255102e-06,0.0,4.3025675e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9159043e-05,0.0,2.336991e-09,0.0,3.0701078e-05,0.0,9.354097e-06,0.0,4.523259e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0335813e-05,0.0,1.9759565e-08,0.0,2.8202157e-05,0.0,7.941198e-06,0.0,3.6797596e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7167533e-08,0.0,6.189732e-05,0.0,2.788345e-08,0.0,2.7139677e-05,0.0,7.136471e-06,0.0,3.1451732e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7555097e-07,0.0,6.471657e-05,0.0,5.1255526e-08,0.0,2.6436948e-05,0.0,7.1537443e-06,0.0,3.1980999e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0315794e-07,0.0,6.385641e-05,0.0,4.9819263e-08,0.0,2.5723915e-05,0.0,6.689962e-06,0.0,2.9297726e-06,0.0,0.0
0.0,4.1731287e-06,0.0,1.2902328e-10,0.0,7.386871e-08,0.0,4.1616357e-07,0.0,6.334759e-05,0.0,3.9834283e-08,0.0,2.5450017e-05,0.0,6.589237e-06,0.0,2.8581876e-06,0.0,0.0
0.0,4.7131275e-06,0.0,3.111798e-10,0.0,1.1724713e-07,0.0,3.788791e-07,0.0,6.240253e-05,0.0,3.0725936e-08,0.0,2.4911988e-05,0.0,6.5261397e-06,0.0,2.6991793e-06,0.0,0.0
0.0,4.5612e-06,0.0,3.977821e-10,0.0,1.4388904e-07,0.0,3.6836792e-07,0.0,6.0202354e-05,0.0,2.9906495e-08,0.0,2.7184458e-05,0.0,7.464197e-06,0.0,3.1897364e-06,0.0,5.4347752e-11
0.0,4.2434344e-06,0.0,2.1724532e-10,0.0,1.3763339e-07,0.0,3.1273703e-07,0.0,6.1037856e-05,0.0,2.8196766e-08,0.0,2.5388405e-05,0.0,6.4675364e-06,0.0,2.6539783e-06,0.0,5.2622066e-11
0.0,4.2807887e-06,0.0,3.180597e-10,0.0,1.4435393e-07,0.0,2.4288522e-07,0.0,6.312283e-05,0.0,2.246492e-08,0.0,2.3120701e-05,0.0,5.2022488e-06,0.0,2.0214468e-06,0.0,3.1599324e-11
0.0,3.89521e-06,0.0,1.5919405e-10,0.0,1.024343e-07,0.0,1.5981597e-07,0.0,6.3282154e-05,0.0,1.5967727e-08,0.0,2.1759508e-05,0.0,4.65695e-06,0.0,1.7181125e-06,0.0,2.4732475e-11
0.0,3.5619514e-06,0.0,9.2447335e-11,0.0,8.787862e-08,0.0,1.4642391e-07,0.0,6.331604e-05,0.0,1.1431128e-08,0.0,2.063366e-05,0.0,4.1522894e-06,0.0,1.5142285e-06,0.0,1.7376163e-11
0.0,3.7089605e-06,0.0,2.435563e-10,0.0,1.0198e-07,0.0,1.5866004e-07,0.0,6.3485175e-05,0.0,9.730972e-09,0.0,2.163721e-05,0.0,4.803573e-06,0.0,1.806848e-06,0.0,6.0690177e-12
0.0,4.069596e-06,0.0,1.7283885e-10,0.0,1.0151568e-07,0.0,1.7436052e-07,0.0,6.541073e-05,0.0,1.0577783e-08,0.0,2.048576e-05,0.0,4.701876e-06,0.0,1.7243216e-06,0.0,1.6443526e-12
0.0,3.5176702e-06,0.0,1.4872459e-10,0.0,7.286966e-08,0.0,1.2895516e-07,0.0,6.3629675e-05,0.0,7.582566e-09,0.0,1.9880072e-05,0.0,4.2258075e-06,0.0,1.4737836e-06,0.0,5.5681267e-12
0.0,3.5287208e-06,0.0,1.8701388e-10,0.0,7.505015e-08,0.0,1.215829e-07,0.0,6.545171e-05,0.0,7.2456046e-09,0.0,1.9250609e-05,0.0,3.9878078e-06,0.0,1.3967352e-06,0.0,6.567485e-12
0.0,3.7505804e-06,0.0,9.285897e-10,0.0,7.740636e-08,0.0,1.2835133e-07,0.0,6.47901e-05,0.0,8.093482e-09,0.0,2.3227432e-05,0.0,5.470601e-06,0.0,2.0440634e-06,0.0,8.491109e-12
0.0,4.675527e-06,0.0,4.927934e-10,0.0,1.1740371e-07,0.0,2.201753e-07,0.0,6.730478e-05,0.0,1.5153164e-08,0.0,2.4159188e-05,0.0,5.437163e-06,0.0,2.0890398e-06,0.0,1.1704901e-11
0.0,3.732409e-06,0.0,3.6028713e-10,0.0,8.6788425e-08,0.0,1.656617e-07,0.0,6.418993e-05,0.0,1.0977867e-08,0.0,2.133075e-05,0.0,4.3747946e-06,0.0,1.5684881e-06,0.0,5.891622e-12
0.0,3.2600337e-06,0.0,1.6262992e-10,0.0,6.512188e-08,0.0,1.1216957e-07,0.0,6.354361e-05,0.0,7.0906028e-09,0.0,1.975336e-05,0.0,4.02979e-06,0.0,1.3784445e-06,0.0,4.0151363e-12
0.0,3.3065305e-06,0.0,1.014719e-10,0.0,5.4754484e-08,0.0,1.05379925e-07,0.0,6.348215e-05,0.0,5.636123e-09,0.0,2.06192e-05,0.0,4.2843976e-06,0.0,1.3826041e-06,0.0,5.7533856e-12
0.0,3.703435e-06,0.0,1.0485244e-10,0.0,6.60856e-08,0.0,1.4284173e-07,0.0,6.271133e-05,0.0,7.4192785e-09,0.0,2.372027e-05,0.0,5.945054e-06,0.0,2.1613732e-06,0.0,1.4875982e-09
0.0,3.4265308e-06,0.0,1.2815106e-10,0.0,6.9077345e-08,0.0,1.18511856e-07,0.0,6.218894e-05,0.0,7.2269386e-09,0.0,2.1776337e-05,0.0,4.9179816e-06,0.0,1.8019628e-06,0.0,1.5971544e-09
0.0,3.5039973e-06,0.0,6.623411e-11,0.0,7.325558e-08,0.0,1.2594705e-07,0.0,6.273138e-05,0.0,8.116571e-09,0.0,2.139752e-05,0.0,4.9054465e-06,0.0,1.8195179e-06,0.0,1.5298883e-09
0.0,3.4309576e-06,0.0,4.585011e-13,0.0,4.763116e-08,0.0,1.09777645e-07,0.0,6.4408516e-05,0.0,7.894133e-09,0.0,2.0070895e-05,0.0,4.3066207e-06,0.0,1.5582818e-06,0.0,1.4138264e-09
0.0,3.249306e-06,0.0,1.1714775e-11,0.0,4.5451035e-08,0.0,8.7314525e-08,0.0,6.573112e-05,0.0,6.022498e-09,0.0,1.8171688e-05,0.0,3.6260506e-06,0.0,1.2346737e-06,0.0,1.0604667e-09
0.0,2.81763e-06,0.0,2.0309392e-13,0.0,3.5329368e-08,0.0,6.802886e-08,0.0,6.184778e-05,0.0,4.5443294e-09,0.0,1.9875697e-05,0.0,4.3811146e-06,0.0,1.499884e-06,0.0,1.0577159e-09
0.0,2.6318687e-06,0.0,1.2396192e-13,0.0,2.9101205e-08,0.0,6.181824e-08,0.0,6.160427e-05,0.0,3.5116554e-09,0.0,1.924809e-05,0.0,4.0111763e-06,0.0,1.336704e-06,0.0,7.883661e-10
0.0,2.991868e-06,0.0,8.053919e-12,0.0,3.6631864e-08,0.0,7.158852e-08,0.0,6.296571e-05,0.0,3.7220609e-09,0.0,2.007717e-05,0.0,4.299464e-06,0.0,1.4561072e-06,0.0,1.1025513e-09
