demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.5377664,0.0,0.0,0.0,0.0,0.09335616,0.0,0.0,0.0,0.0,0.16450916,0.0,0.0,0.0,0.0
0.7250888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3938292,0.0,0.0,0.0,0.0
0.011182156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23694073,0.0,0.0,0.0,0.0
0.022334253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28518185,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.070020854,0.0,0.0,0.0,0.0,0.37201583,0.0,0.0,0.0,0.0
0.022334253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28986612,0.0,0.0,0.0,0.0
0.019508656,0.0,0.0,0.0,0.0,0.0,0.0,6.6367134e-09,0.0,0.0,0.21240067,0.0,0.0,0.0,0.0
0.12573914,0.0,0.0,0.0,0.0,0.0,0.0,2.5643006e-08,0.0,0.0,0.5864441,0.0,0.0,0.0,0.0
0.0,0.0,5.2437937e-08,0.0,0.0,0.0,0.0,3.378059e-08,0.0,0.0,0.24316312,0.0,0.0,0.0,0.0
0.10057929,0.0,3.6497562e-07,0.0,0.0,0.023335308,0.0,5.974581e-08,0.0,0.0,0.71970135,0.0,0.0,0.0,0.0
0.0,0.0,4.8475493e-07,0.0,0.0,0.011667654,0.0,5.7831258e-08,0.0,0.0,0.3404144,0.0,0.0,0.0,0.0
0.011182156,0.0,4.8682756e-07,0.0,0.0,0.06958762,0.0,4.6639517e-08,0.0,0.0,0.29993382,0.0,0.0,0.0,0.0
0.03351641,0.0,4.3298803e-07,0.0,0.0,0.15226212,0.0,3.5829846e-08,0.0,0.0,0.18646236,0.0,3.58645e-12,0.0,0.0
0.0,0.0,4.1337452e-07,0.0,0.0,0.12336937,0.0,3.451183e-08,0.0,0.0,0.19743897,0.0,8.4656955e-11,0.0,0.0
0.07821497,0.0,3.497431e-07,0.0,0.0,0.0,0.0,3.2570558e-08,0.0,0.0,0.4034075,0.0,6.725507e-11,0.0,0.0
0.0,0.0,2.7133373e-07,0.0,0.0,0.18672727,0.0,2.5947378e-08,0.0,0.0,0.12304977,0.0,3.8982713e-11,0.0,0.0
0.022334253,0.0,1.7936013e-07,0.0,0.0,0.0,0.0,1.8521591e-08,0.0,0.0,0.24127543,0.0,2.980805e-11,0.0,0.0
0.0,0.0,1.6391101e-07,0.0,0.0,0.0,0.0,1.332124e-08,0.0,0.0,0.24127543,0.0,2.0808766e-11,0.0,0.0
0.0,0.0,1.7801085e-07,0.0,0.0,0.0,0.0,1.1387743e-08,0.0,0.0,0.0,0.0,7.373797e-12,0.0,0.0
0.0,0.0,1.9639951e-07,0.0,0.0,0.011667654,0.0,1.2397898e-08,0.0,0.0,0.021953197,0.0,2.0093063e-12,0.0,0.0
0.07821497,0.0,1.4607342e-07,0.0,0.0,0.011667654,0.0,8.970883e-09,0.0,0.0,0.34726605,0.0,6.711588e-12,0.0,0.0
