pressure [meter] at 2,pressure [meter] at 3,pressure [meter] at 4,pressure [meter] at 5,pressure [meter] at 6,pressure [meter] at 7,pressure [meter] at 8,pressure [meter] at 9,pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 14,pressure [meter] at 15,pressure [meter] at 16,pressure [meter] at 17,pressure [meter] at 18,pressure [meter] at 19,pressure [meter] at 20,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 24,pressure [meter] at 25,pressure [meter] at 26,pressure [meter] at 27,pressure [meter] at 28,pressure [meter] at 29,pressure [meter] at 30,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 1,flow [cubic meter/hr] at 1,flow [cubic meter/hr] at 2,flow [cubic meter/hr] at 3,flow [cubic meter/hr] at 4,flow [cubic meter/hr] at 5,flow [cubic meter/hr] at 6,flow [cubic meter/hr] at 7,flow [cubic meter/hr] at 8,flow [cubic meter/hr] at 9,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 13,flow [cubic meter/hr] at 14,flow [cubic meter/hr] at 15,flow [cubic meter/hr] at 16,flow [cubic meter/hr] at 17,flow [cubic meter/hr] at 18,flow [cubic meter/hr] at 19,flow [cubic meter/hr] at 20,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 23,flow [cubic meter/hr] at 24,flow [cubic meter/hr] at 25,flow [cubic meter/hr] at 26,flow [cubic meter/hr] at 27,flow [cubic meter/hr] at 28,flow [cubic meter/hr] at 29,flow [cubic meter/hr] at 30,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 32,flow [cubic meter/hr] at 33,flow [cubic meter/hr] at 34,bulk_species_node [MG] at Chlorine @ 2,bulk_species_node [MG] at Chlorine @ 3,bulk_species_node [MG] at Chlorine @ 4,bulk_species_node [MG] at Chlorine @ 5,bulk_species_node [MG] at Chlorine @ 6,bulk_species_node [MG] at Chlorine @ 7,bulk_species_node [MG] at Chlorine @ 8,bulk_species_node [MG] at Chlorine @ 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 14,bulk_species_node [MG] at Chlorine @ 15,bulk_species_node [MG] at Chlorine @ 16,bulk_species_node [MG] at Chlorine @ 17,bulk_species_node [MG] at Chlorine @ 18,bulk_species_node [MG] at Chlorine @ 19,bulk_species_node [MG] at Chlorine @ 20,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 24,bulk_species_node [MG] at Chlorine @ 25,bulk_species_node [MG] at Chlorine @ 26,bulk_species_node [MG] at Chlorine @ 27,bulk_species_node [MG] at Chlorine @ 28,bulk_species_node [MG] at Chlorine @ 29,bulk_species_node [MG] at Chlorine @ 30,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at Chlorine @ 1,bulk_species_node [MG] at AsIII @ 2,bulk_species_node [MG] at AsIII @ 3,bulk_species_node [MG] at AsIII @ 4,bulk_species_node [MG] at AsIII @ 5,bulk_species_node [MG] at AsIII @ 6,bulk_species_node [MG] at AsIII @ 7,bulk_species_node [MG] at AsIII @ 8,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 14,bulk_species_node [MG] at AsIII @ 15,bulk_species_node [MG] at AsIII @ 16,bulk_species_node [MG] at AsIII @ 17,bulk_species_node [MG] at AsIII @ 18,bulk_species_node [MG] at AsIII @ 19,bulk_species_node [MG] at AsIII @ 20,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 24,bulk_species_node [MG] at AsIII @ 25,bulk_species_node [MG] at AsIII @ 26,bulk_species_node [MG] at AsIII @ 27,bulk_species_node [MG] at AsIII @ 28,bulk_species_node [MG] at AsIII @ 29,bulk_species_node [MG] at AsIII @ 30,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 1
68.974594,54.313263,51.986416,49.37919,46.638187,46.15204,45.56883,45.15364,44.7838,44.064487,43.50324,41.418945,42.21775,42.128426,42.200474,45.587563,49.11368,52.787163,49.81662,46.79978,44.64942,46.242336,44.73695,43.58821,42.195126,41.88446,42.457962,40.91792,40.675804,40.899025,41.608715,0.0,11992.05,11585.157,4696.3315,4607.1685,4148.7554,3534.6907,2678.0098,2393.3274,2061.534,1308.9039,976.9772,689.03705,465.5763,113.25269,-45.645435,310.55994,-805.3575,-1556.3533,-1588.0177,4766.154,804.92316,316.62784,3159.3967,2040.051,1567.2855,-730.49615,-149.87978,87.41943,469.85678,270.8597,49.732338,-166.3608,228.45918,732.87354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.974594,54.31326,51.986416,49.37919,46.638184,46.152035,45.56883,45.153637,44.783794,44.064487,43.50324,41.418945,42.21775,42.128426,42.20047,45.587563,49.11368,52.787163,49.81662,46.799778,44.649418,46.242332,44.736946,43.58821,42.19512,41.88446,42.457962,40.917915,40.6758,40.899025,41.608715,0.0,11992.05,11585.157,4696.3315,4607.169,4148.7554,3534.691,2678.0098,2393.3276,2061.534,1308.904,976.9772,689.0371,465.57632,113.25271,-45.645435,310.55994,-805.35754,-1556.3534,-1588.0178,4766.154,804.9232,316.62784,3159.397,2040.051,1567.2855,-730.49615,-149.87979,87.41943,469.8568,270.85974,49.73234,-166.36081,228.45921,732.87354,0.50028336,0.49926648,0.4991241,0.2569924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49474865,0.49917036,0.20180641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5003256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.166306,57.228584,55.446796,53.448162,51.345375,50.972904,50.506287,50.175617,49.879948,49.349617,48.923725,47.458733,47.6415,47.510204,47.513092,49.754818,52.54845,55.854618,53.471764,50.7295,48.871437,50.656704,49.439445,48.551445,47.561714,47.27197,47.636864,46.43012,46.203438,46.37308,46.915462,0.0,10724.023,10368.35,4066.0378,3991.1548,3595.5173,3061.1985,2374.156,2116.5486,1826.8447,1110.2831,841.71954,569.5897,432.47586,139.4354,-8.036357,248.51991,-710.20593,-1470.2914,-1500.4803,4325.2856,764.4994,292.60925,2777.2185,1818.9517,1363.8862,-607.3724,-144.34244,75.54072,415.953,237.43959,47.995052,-143.44652,197.58842,661.2005,0.5002833,0.49986833,0.49815527,0.49795693,0.49516243,0.45354736,0.012712894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4948974,0.49798253,0.49961686,0.49787486,0.46623302,0.22958548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50032556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.166306,57.228584,55.446796,53.448162,51.34537,50.9729,50.506287,50.175613,49.879944,49.349613,48.92372,47.458733,47.6415,47.5102,47.51309,49.754814,52.54845,55.854618,53.471764,50.7295,48.871437,50.6567,49.439445,48.55144,47.56171,47.27197,47.636864,46.43012,46.203434,46.373077,46.915462,0.0,10724.024,10368.351,4066.0378,3991.155,3595.5173,3061.1987,2374.1562,2116.5486,1826.8448,1110.2831,841.7196,569.5898,432.4759,139.43541,-8.036359,248.51993,-710.20593,-1470.2914,-1500.4805,4325.286,764.49945,292.60928,2777.2185,1818.9518,1363.8864,-607.37244,-144.34244,75.54072,415.95306,237.4396,47.995056,-143.44653,197.58844,661.2005,0.559432,0.5587784,0.55775034,0.5032524,0.49474284,0.49474284,0.4928205,0.29075605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949041,0.5560816,0.55829734,0.4986402,0.49488616,0.49415904,0.49323496,0.19376145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5594849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.339966,59.90234,58.428757,56.77535,55.022297,54.71879,54.339043,54.07609,53.842274,53.406883,53.042706,51.702778,52.052795,51.972885,52.00757,54.082676,56.29513,58.841354,57.10081,55.093483,53.7847,54.75608,53.76037,53.045326,52.188725,51.879055,52.37942,51.428093,51.27006,51.40427,51.825535,0.0,9453.297,9132.769,3669.7378,3602.7258,3259.1497,2740.8003,2124.2273,1870.2225,1609.3997,998.1063,773.49457,542.7968,383.2367,106.64331,-30.758938,238.36916,-626.16583,-1276.9004,-1305.0021,3691.5662,645.97797,242.16493,2516.1697,1631.9656,1213.3274,-561.7971,-149.62013,53.779198,365.49374,208.82552,39.499943,-126.39946,172.38544,564.2772,0.559432,0.55877805,0.55784607,0.5562831,0.55070984,0.5199008,0.4924739,0.49177098,0.45318997,0.006887135,7.4974596e-05,6.51035e-06,0.12099523,3.6864858e-05,0.006541705,0.5526316,0.55656725,0.5582965,0.5563718,0.5384287,0.499081,0.49180046,0.49063477,0.32900402,0.0,3.4531804e-05,0.49016187,0.0,0.0,0.0,0.0,0.5594849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.339966,59.90234,58.428757,56.77535,55.022297,54.71879,54.339043,54.076088,53.84227,53.40688,53.042706,51.702774,52.05279,51.97288,52.007565,54.082672,56.295128,58.84135,57.100807,55.093483,53.784695,54.75608,53.76037,53.045322,52.18872,51.879055,52.379417,51.42809,51.27006,51.40427,51.825535,0.0,9453.297,9132.77,3669.738,3602.726,3259.1497,2740.8005,2124.2273,1870.2227,1609.3998,998.1064,773.4946,542.7969,383.23672,106.643326,-30.75894,238.36919,-626.1659,-1276.9004,-1305.0021,3691.5664,645.978,242.16495,2516.1697,1631.9656,1213.3275,-561.7971,-149.62015,53.779205,365.49377,208.82555,39.499947,-126.399475,172.38548,564.2772,0.6346237,0.6336049,0.6312776,0.554717,0.5528185,0.5527048,0.5491186,0.49129707,0.4888575,0.47305033,7.4507465e-05,2.2045226e-05,0.48710355,0.021990096,0.4867352,0.552998,0.61917347,0.6331477,0.5548423,0.5529053,0.55153424,0.5493397,0.4901418,0.48745763,0.48050278,0.28295442,0.48867708,0.0,0.0,0.0,0.47380576,0.6346917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.46941,61.872246,60.690674,59.365417,57.955112,57.704845,57.40195,57.183617,56.9851,56.60953,56.29496,55.15638,55.580498,55.524998,55.56352,57.15165,58.91752,61.004955,59.576286,57.91746,56.771816,57.686546,56.898907,56.337685,55.708664,55.498333,55.728863,54.89858,54.74192,54.90306,55.33785,0.0,8402.181,8123.299,3257.2085,3197.0698,2897.9326,2469.7046,1880.0797,1691.5631,1473.2778,921.5465,714.69196,497.1101,336.26202,87.59188,-32.551777,206.31561,-554.3947,-1147.0107,-1170.4174,3315.4446,582.7728,225.36798,2239.4993,1437.9359,1064.5752,-475.5147,-121.417206,37.27665,329.15634,194.03076,39.314083,-139.51671,175.3524,506.83148,0.6346237,0.633604,0.6322522,0.63060564,0.59617347,0.5570562,0.54966277,0.5479922,0.49610376,0.48587796,0.3112729,2.4118555e-05,0.48590526,0.37069824,0.48571417,0.58744097,0.6309912,0.6331462,0.6294699,0.5541955,0.55110985,0.5494605,0.5477765,0.48715737,0.48567903,0.3581742,0.54072195,0.41850725,0.15398738,0.34864056,0.48567903,0.6346917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.46941,61.872246,60.69067,59.365414,57.95511,57.704845,57.40195,57.183617,56.985096,56.60953,56.29496,55.15638,55.580498,55.524994,55.563515,57.15165,58.91752,61.00495,59.576283,57.91746,56.771816,57.686543,56.898907,56.33768,55.70866,55.49833,55.72886,54.898575,54.74192,54.903057,55.33785,0.0,8402.181,8123.2993,3257.2087,3197.07,2897.9329,2469.7048,1880.0798,1691.5632,1473.278,921.5466,714.692,497.1101,336.26205,87.591896,-32.551777,206.31564,-554.3948,-1147.0107,-1170.4175,3315.4448,582.7728,225.368,2239.4993,1437.936,1064.5753,-475.51474,-121.41722,37.276653,329.15637,194.03078,39.314083,-139.51672,175.35243,506.8315,0.7140059,0.7128913,0.70714605,0.6289597,0.6267916,0.625627,0.58759075,0.5476855,0.544485,0.4978578,0.4813405,2.3968285e-05,0.52862453,0.43769142,0.53394115,0.6269291,0.676414,0.71169585,0.6290705,0.6252845,0.6252845,0.5602921,0.54756284,0.5442837,0.49408013,0.4779862,0.5459576,0.482319,0.37537652,0.48147467,0.4912517,0.71409196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.53216,62.867943,61.814583,60.63073,59.38666,59.17043,58.91135,58.7306,58.572273,58.266136,58.010456,57.02399,57.45244,57.38921,57.401356,58.65173,60.27395,62.105293,60.869457,59.273293,58.121593,59.30364,58.61476,58.11405,57.52479,57.33039,57.53314,56.87014,56.77271,56.904465,57.263927,0.0,7850.1963,7568.4575,3061.3308,3008.1064,2708.1785,2282.2898,1727.9669,1527.5289,1303.8705,825.2453,639.0155,460.06967,297.54092,93.97754,-17.453503,181.32582,-529.56805,-1068.748,-1091.9146,3076.1113,570.78186,226.0099,2023.2874,1337.5891,1000.97186,-459.0404,-116.36253,39.026085,311.77057,171.83418,30.421402,-125.14714,158.23271,464.32895,0.7140058,0.71289116,0.71067256,0.7082279,0.6327869,0.625089,0.62312126,0.60678643,0.5444324,0.54094595,0.47978988,2.3818951e-05,0.5426186,0.48497927,0.5426522,0.62941474,0.7100651,0.7116918,0.70806247,0.6252668,0.62508935,0.62227285,0.5984785,0.54312754,0.5410704,0.5257452,0.5460506,0.48140994,0.3746003,0.48131227,0.5410704,0.7140919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.53215,62.86794,61.814583,60.63073,59.38666,59.170425,58.911346,58.730595,58.57227,58.266136,58.010456,57.023987,57.452435,57.38921,57.401352,58.65173,60.273945,62.105293,60.869457,59.273293,58.121593,59.30364,58.61476,58.114048,57.52479,57.330387,57.53314,56.870136,56.772705,56.904465,57.263924,0.0,7850.1973,7568.458,3061.331,3008.1067,2708.1787,2282.29,1727.967,1527.529,1303.8706,825.2453,639.01556,460.0697,297.541,93.977554,-17.453503,181.32585,-529.5681,-1068.7482,-1091.9147,3076.1116,570.7819,226.00992,2023.2876,1337.5892,1000.972,-459.04044,-116.36255,39.02609,311.7706,171.8342,30.421404,-125.147156,158.23274,464.329,0.76420444,0.7630115,0.75678504,0.70774376,0.70455295,0.70335543,0.6241875,0.61902577,0.60332876,0.54087967,0.52505463,2.3670547e-05,0.54348993,0.5281391,0.54117537,0.70396215,0.72850025,0.7616388,0.70742214,0.703253,0.692326,0.6213711,0.61918515,0.56375855,0.54103667,0.5237061,0.6173458,0.53749824,0.42798245,0.5369747,0.54103667,0.7643031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
