pressure [meter] at 2,pressure [meter] at 3,pressure [meter] at 4,pressure [meter] at 5,pressure [meter] at 6,pressure [meter] at 7,pressure [meter] at 8,pressure [meter] at 9,pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 14,pressure [meter] at 15,pressure [meter] at 16,pressure [meter] at 17,pressure [meter] at 18,pressure [meter] at 19,pressure [meter] at 20,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 24,pressure [meter] at 25,pressure [meter] at 26,pressure [meter] at 27,pressure [meter] at 28,pressure [meter] at 29,pressure [meter] at 30,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 1,flow [cubic meter/hr] at 1,flow [cubic meter/hr] at 2,flow [cubic meter/hr] at 3,flow [cubic meter/hr] at 4,flow [cubic meter/hr] at 5,flow [cubic meter/hr] at 6,flow [cubic meter/hr] at 7,flow [cubic meter/hr] at 8,flow [cubic meter/hr] at 9,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 13,flow [cubic meter/hr] at 14,flow [cubic meter/hr] at 15,flow [cubic meter/hr] at 16,flow [cubic meter/hr] at 17,flow [cubic meter/hr] at 18,flow [cubic meter/hr] at 19,flow [cubic meter/hr] at 20,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 23,flow [cubic meter/hr] at 24,flow [cubic meter/hr] at 25,flow [cubic meter/hr] at 26,flow [cubic meter/hr] at 27,flow [cubic meter/hr] at 28,flow [cubic meter/hr] at 29,flow [cubic meter/hr] at 30,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 32,flow [cubic meter/hr] at 33,flow [cubic meter/hr] at 34,bulk_species_node [MG] at Chlorine @ 2,bulk_species_node [MG] at Chlorine @ 3,bulk_species_node [MG] at Chlorine @ 4,bulk_species_node [MG] at Chlorine @ 5,bulk_species_node [MG] at Chlorine @ 6,bulk_species_node [MG] at Chlorine @ 7,bulk_species_node [MG] at Chlorine @ 8,bulk_species_node [MG] at Chlorine @ 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 14,bulk_species_node [MG] at Chlorine @ 15,bulk_species_node [MG] at Chlorine @ 16,bulk_species_node [MG] at Chlorine @ 17,bulk_species_node [MG] at Chlorine @ 18,bulk_species_node [MG] at Chlorine @ 19,bulk_species_node [MG] at Chlorine @ 20,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 24,bulk_species_node [MG] at Chlorine @ 25,bulk_species_node [MG] at Chlorine @ 26,bulk_species_node [MG] at Chlorine @ 27,bulk_species_node [MG] at Chlorine @ 28,bulk_species_node [MG] at Chlorine @ 29,bulk_species_node [MG] at Chlorine @ 30,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at Chlorine @ 1,bulk_species_node [MG] at AsIII @ 2,bulk_species_node [MG] at AsIII @ 3,bulk_species_node [MG] at AsIII @ 4,bulk_species_node [MG] at AsIII @ 5,bulk_species_node [MG] at AsIII @ 6,bulk_species_node [MG] at AsIII @ 7,bulk_species_node [MG] at AsIII @ 8,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 14,bulk_species_node [MG] at AsIII @ 15,bulk_species_node [MG] at AsIII @ 16,bulk_species_node [MG] at AsIII @ 17,bulk_species_node [MG] at AsIII @ 18,bulk_species_node [MG] at AsIII @ 19,bulk_species_node [MG] at AsIII @ 20,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 24,bulk_species_node [MG] at AsIII @ 25,bulk_species_node [MG] at AsIII @ 26,bulk_species_node [MG] at AsIII @ 27,bulk_species_node [MG] at AsIII @ 28,bulk_species_node [MG] at AsIII @ 29,bulk_species_node [MG] at AsIII @ 30,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 1
68.79722,53.521076,51.39052,49.312992,46.58469,45.941204,45.290646,44.7495,44.474613,43.7485,43.14783,41.65855,42.49711,42.352592,42.37513,45.996574,49.944855,52.383694,49.124264,43.55125,41.279896,46.952625,44.994434,43.77787,41.82396,41.773777,43.036835,41.63017,41.486202,41.71043,42.241913,0.0,11866.622,11355.39,4671.1084,4580.594,4118.204,3506.4133,2580.5225,2299.2861,1997.2198,1217.4434,888.02045,566.0917,502.8121,173.33691,-22.213215,341.90567,-800.84265,-1514.1104,-1551.5542,4617.3916,813.1453,310.0845,3052.0867,2067.6313,1514.6936,-734.0691,-56.94579,129.87479,432.6221,233.5258,38.699627,-179.58238,237.89348,679.3231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.79722,53.521072,51.39052,49.31299,46.58469,45.941204,45.290646,44.749496,44.47461,43.748497,43.147827,41.658546,42.49711,42.35259,42.37513,45.996574,49.94485,52.383694,49.124264,43.551247,41.279892,46.95262,44.994434,43.77787,41.823956,41.773773,43.03683,41.630165,41.4862,41.710426,42.24191,0.0,11866.622,11355.391,4671.109,4580.594,4118.204,3506.4136,2580.5225,2299.2864,1997.22,1217.4434,888.0205,566.09174,502.81213,173.33693,-22.213215,341.90567,-800.84265,-1514.1104,-1551.5543,4617.3916,813.1454,310.08453,3052.087,2067.6313,1514.6937,-734.06915,-56.945797,129.8748,432.62213,233.52582,38.699627,-179.5824,237.89351,679.3232,0.50557077,0.5045364,0.50439316,0.2462868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49881086,0.5044375,0.14201112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.02288,56.589897,54.958553,53.36607,51.273144,50.78016,50.256992,49.823578,49.602448,49.061283,48.59758,47.550804,47.905373,47.73587,47.7329,50.230442,53.372936,55.56648,52.914616,47.8438,45.88119,51.203312,49.6255,48.698654,47.34414,47.284847,48.080246,46.982327,46.847404,47.0202,47.430435,0.0,10607.24,10160.361,4044.0212,3968.003,3568.933,3036.593,2294.0454,2039.5562,1775.8086,1038.7472,772.20966,467.95746,462.96045,188.92387,7.435769,279.75256,-707.9778,-1429.8784,-1465.5776,4191.4355,772.72186,286.56232,2683.6882,1840.034,1307.7981,-602.30725,-62.314922,110.794365,382.88156,204.27911,37.36738,-156.01335,206.85323,612.57544,0.50557077,0.5051475,0.50339025,0.5032015,0.5001165,0.45068726,0.009302138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995947,0.5032165,0.50487757,0.50312483,0.4623091,0.19887406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.02288,56.589897,54.958553,53.36607,51.27314,50.780155,50.256992,49.823578,49.602444,49.06128,48.597576,47.550804,47.905373,47.735867,47.7329,50.23044,53.372936,55.566475,52.91461,47.843796,45.881187,51.203312,49.625496,48.698654,47.34414,47.284843,48.080242,46.982327,46.847404,47.0202,47.430435,0.0,10607.24,10160.361,4044.0212,3968.0032,3568.933,3036.5933,2294.0454,2039.5563,1775.8087,1038.7473,772.2097,467.95746,462.96048,188.92389,7.43577,279.7526,-707.9778,-1429.8784,-1465.5778,4191.4355,772.7219,286.56232,2683.6885,1840.0342,1307.7982,-602.3073,-62.314934,110.79437,382.8816,204.27913,37.36738,-156.01337,206.85326,612.5755,0.56559074,0.564893,0.56381893,0.5077154,0.49994314,0.49994314,0.49815485,0.23341393,0.00012507726,6.47193e-05,1.6554692e-05,0.0,8.975497e-05,4.043699e-05,0.0,0.50008804,0.5618702,0.5644166,0.5018057,0.50003356,0.49926192,0.49807715,0.10166166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56564474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.22588,59.39352,58.048004,56.734215,54.994473,54.5942,54.17051,53.82797,53.65427,53.21614,52.825554,51.86814,52.287334,52.17227,52.18431,54.428284,56.91355,58.602818,56.646183,52.931644,51.549217,55.21999,53.92444,53.17669,52.004333,51.91778,52.751747,51.87915,51.78217,51.916744,52.2322,0.0,9353.855,8951.135,3644.5376,3576.5098,3229.9526,2713.5232,2047.138,1796.208,1558.7537,926.79205,703.8747,445.94522,411.9206,153.2645,-15.831441,264.0395,-623.73047,-1241.7737,-1275.0046,3581.9846,653.1843,237.16045,2432.1794,1654.2638,1164.6326,-557.12146,-76.434616,83.69732,337.19754,180.45119,31.265429,-136.31442,179.49579,522.4532,0.56559074,0.5648926,0.5639514,0.562385,0.55606383,0.52300084,0.49737766,0.49676904,0.42464978,7.430496e-05,4.461357e-05,5.2660657e-06,0.094744414,6.821653e-05,0.17494291,0.55814266,0.56257594,0.5644157,0.56229496,0.53977585,0.5032634,0.4969172,0.4953998,0.19998623,0.0,0.0,0.4949197,0.0,0.0,0.0,0.0,0.56564474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.22588,59.39352,58.048004,56.73421,54.994473,54.594196,54.17051,53.827965,53.65427,53.216137,52.82555,51.868137,52.287334,52.17227,52.184307,54.428284,56.91355,58.602818,56.646183,52.93164,51.549213,55.219986,53.924435,53.17669,52.004333,51.917778,52.751743,51.879147,51.782166,51.916744,52.232197,0.0,9353.856,8951.136,3644.5378,3576.5098,3229.953,2713.5232,2047.1381,1796.2081,1558.7538,926.7921,703.87476,445.94522,411.92062,153.26453,-15.831439,264.03952,-623.7305,-1241.7738,-1275.0048,3581.9849,653.1844,237.16046,2432.1797,1654.2639,1164.6327,-557.12146,-76.43462,83.69732,337.19757,180.4512,31.265429,-136.31444,179.49582,522.45325,0.64136976,0.6402915,0.63778687,0.5608009,0.5588811,0.558745,0.55392766,0.4957284,0.4938697,0.44169798,4.4335608e-05,1.5795413e-05,0.49219403,0.17988834,0.49229905,0.55902636,0.6218758,0.6398472,0.5607525,0.5589081,0.55736107,0.5506743,0.49568045,0.49241388,0.47023165,0.056449138,0.49395254,0.0,8.463684e-05,0.00010552255,0.4197546,0.6414392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.3773,61.454033,60.373436,59.318703,57.916527,57.585705,57.24808,56.963642,56.81635,56.437378,56.098736,55.28519,55.745247,55.662163,55.679543,57.427475,59.419975,60.80707,59.20112,56.134872,54.924763,58.04991,57.019344,56.42876,55.5649,55.5105,56.02305,55.258877,55.15961,55.31826,55.643993,0.0,8316.67,7966.275,3237.6094,3176.5588,2874.8267,2448.1846,1810.9244,1624.69,1425.962,856.9699,651.6758,408.4104,361.09607,128.55234,-19.304075,230.7209,-553.5729,-1116.4174,-1144.0963,3218.08,588.923,220.71062,2166.5369,1461.9915,1025.3158,-472.43594,-59.48225,65.454025,303.16843,167.97545,31.661003,-148.98122,182.63135,472.71964,0.6413697,0.64041245,0.63871855,0.63723505,0.5989064,0.5620398,0.55548096,0.55387765,0.4949187,0.49079478,0.114297956,1.8580145e-05,0.49079582,0.4433705,0.49250296,0.58860135,0.63765484,0.6393907,0.63578904,0.5579222,0.5573483,0.5554288,0.55338776,0.49248153,0.49083555,0.4893301,0.5284227,0.01794246,0.097747594,0.23283194,0.49020612,0.64143914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.3773,61.45403,60.373436,59.3187,57.916527,57.585705,57.248077,56.96364,56.81635,56.437378,56.098736,55.28519,55.745247,55.662163,55.679543,57.427475,59.41997,60.807068,59.20112,56.13487,54.924763,58.04991,57.019344,56.42876,55.5649,55.510498,56.023045,55.258873,55.159607,55.318256,55.643993,0.0,8316.67,7966.2754,3237.6096,3176.559,2874.827,2448.1846,1810.9247,1624.6901,1425.9622,856.97,651.6758,408.4104,361.0961,128.55237,-19.304073,230.72092,-553.57294,-1116.4174,-1144.0963,3218.0803,588.923,220.71063,2166.537,1461.9916,1025.3159,-472.43597,-59.48226,65.45403,303.16846,167.97548,31.661003,-148.98125,182.63138,472.7197,0.72134626,0.7202202,0.71403587,0.6359979,0.6334047,0.63217574,0.58625543,0.5534942,0.55054206,0.49183512,0.48461115,1.8464381e-05,0.5293828,0.4240527,0.55034983,0.6335056,0.67813975,0.7189887,0.6360117,0.6317952,0.6317952,0.5553396,0.5525381,0.5497938,0.48953515,0.48780334,0.5518663,0.48624572,0.40115157,0.48651075,0.48953807,0.7214341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.44941,62.48904,61.526157,60.58437,59.348335,59.062763,58.7747,58.54011,58.422894,58.117363,57.84615,57.141293,57.551937,57.463978,57.46518,58.874325,60.70219,61.919632,60.521523,57.57364,56.357136,59.563095,58.665188,58.138885,57.33425,57.28716,57.725506,57.124596,57.069946,57.20069,57.471424,0.0,7781.965,7427.98,3042.138,2988.1067,2685.5767,2261.2651,1662.1593,1464.1476,1260.528,762.87274,578.04785,377.97913,322.9356,132.57346,-4.560671,205.38286,-528.38617,-1040.4791,-1067.874,2991.1196,576.53674,221.33926,1962.4038,1357.1615,963.46027,-454.66156,-55.02562,67.30851,287.53754,147.53137,22.93843,-134.20592,165.27364,433.1486,0.7213462,0.7202201,0.7179305,0.7154394,0.63811,0.6315288,0.62965184,0.6036576,0.55014336,0.5468513,0.4847268,1.834934e-05,0.5483392,0.45659462,0.5485468,0.6356695,0.7173206,0.7189845,0.7150278,0.63147706,0.63136834,0.6280534,0.59005064,0.5484793,0.5464116,0.49951023,0.5501178,0.48481166,0.39989844,0.48594213,0.5464116,0.72143406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.44941,62.48904,61.526154,60.584366,59.34833,59.062763,58.774696,58.540108,58.422894,58.117363,57.846146,57.141293,57.551937,57.463974,57.465176,58.874325,60.70219,61.919632,60.52152,57.573635,56.357136,59.563095,58.665184,58.138885,57.334248,57.287155,57.725506,57.124596,57.069946,57.20069,57.471424,0.0,7781.9653,7427.9805,3042.1382,2988.107,2685.577,2261.2654,1662.1594,1464.1477,1260.5281,762.8728,578.0479,377.97916,322.93567,132.57347,-4.5606685,205.38289,-528.38617,-1040.4791,-1067.8741,2991.1199,576.5368,221.3393,1962.4039,1357.1616,963.4604,-454.6616,-55.02563,67.30852,287.53757,147.53139,22.93843,-134.20593,165.27368,433.14865,0.7709041,0.7697007,0.7631525,0.7149576,0.71168095,0.7104598,0.6287213,0.6258997,0.59891605,0.5464664,0.50016105,1.8235014e-05,0.5481204,0.52699137,0.553385,0.7110918,0.73210496,0.7682899,0.71450484,0.71031505,0.6967268,0.6275426,0.6258748,0.55561656,0.54587835,0.5443362,0.6240114,0.48610133,0.45181555,0.5391505,0.5450625,0.77100444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
