pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
231.54716,173.18585,84.05462,87.27799,123.466034,93.82062,94.12052,118.07794,98.47989,0.0,36.576,1867.855,1419.2919,-73.88093,327.15933,105.93656,59.201855,-1716.2358,425.97418,-242.73027,-87.4591,74.48524,-44.501667,1867.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.12828,176.84724,88.66493,92.00139,128.32852,98.66746,98.95358,123.18017,103.759766,0.0,41.187553,1849.106,1411.384,-76.496056,327.24802,106.57854,58.857864,-1715.5852,420.7111,-246.46686,-88.42825,72.67703,-45.61698,1849.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.96515,84.96515,88.136856,89.45802,87.75581,89.34337,90.86494,87.45329,84.30668,0.0,42.429768,-0.00019331524,-39.91903,23.446327,-11.533725,3.6832335,3.723984,120.83175,24.04788,41.827152,11.141246,15.731052,8.860552,0.0,0.0,0.0,0.44936192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.65003,84.65003,87.813614,89.17904,87.471634,89.069145,90.590294,87.21645,84.13398,0.0,42.10509,-0.00019062479,-38.481384,20.527666,-12.477042,4.012452,2.1119196,113.3935,22.440994,38.205925,10.916591,14.350042,7.756485,0.0,0.0,0.0,0.49655122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.368904,84.368904,87.51077,88.88438,87.230965,88.806595,90.32668,87.00841,83.909485,0.0,41.8004,-0.00019008045,-34.39102,19.949337,-10.309702,4.7607155,2.6063285,103.1428,20.177774,34.994102,9.173285,13.32832,7.306298,0.0,0.0,0.0,0.5291233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.096504,84.096504,87.23452,88.63175,86.97824,88.55465,90.07581,86.78065,83.68326,0.0,41.523254,-0.00018899105,-33.622883,18.190405,-10.393422,4.0035644,2.563595,97.8454,18.995163,32.9295,9.066941,12.498962,6.9882765,0.0,0.0,0.0,0.5817094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.83595,83.83595,86.97147,88.35977,86.70612,88.28357,89.804695,86.48604,83.40559,0.0,41.26034,-0.00018789693,-33.116245,18.871937,-10.503872,4.0331492,2.0433707,98.65787,19.697409,33.623665,9.013745,13.2482395,7.070941,0.0,0.0,0.0,0.61320335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.562126,83.562126,86.705894,88.08468,86.43156,88.009514,89.53128,86.18674,83.094795,0.0,40.995247,-0.00018789968,-34.766705,19.575495,-10.557877,3.5164948,2.4069057,101.509,19.74178,34.34382,8.909762,14.032345,7.5173573,0.0,0.0,0.0,0.60815346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.263596,83.263596,86.430756,87.78427,86.07764,87.674866,89.19737,85.79043,82.69,0.0,40.72249,-0.0001862462,-39.12096,21.34649,-12.450814,2.8342762,2.6475472,114.76239,22.842253,39.075138,10.819762,15.295856,8.31243,0.0,0.0,0.0,0.591072,0.0,0.0,0.35109296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.94673,82.94673,86.12017,87.42351,85.72322,87.30391,88.82335,85.40037,82.27422,0.0,40.41412,-0.0001851376,-40.221043,24.53745,-10.843031,5.1696763,3.2843225,125.98979,24.754013,43.42161,11.499847,16.293491,8.788175,0.0,0.0,0.0,0.52281195,0.0,0.0,0.49650624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
