pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
239.94331,161.90059,83.770294,86.46463,116.47523,92.43749,92.94822,111.412125,93.21144,0.0,36.576,1806.1526,1415.6548,-51.804764,286.1641,87.07603,51.507816,-1654.5868,370.7961,-208.45187,-65.99898,64.565254,-35.72024,1806.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.21442,165.53104,88.21664,91.02781,121.18716,97.15603,97.65297,116.34364,98.29325,0.0,41.0219,1789.0969,1407.9543,-54.536118,286.12418,87.713524,51.231346,-1654.8516,366.30603,-212.70396,-67.00969,63.037834,-37.011024,1789.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.00516,85.00516,88.15361,89.42413,87.74231,89.28841,90.80266,87.434135,84.25367,0.0,42.445236,-0.00019237323,-38.11074,22.67995,-6.347729,7.0935388,3.9850907,121.06456,24.268156,43.316666,9.816584,14.243399,9.530335,0.0,0.0,0.0,0.44693628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.690414,84.690414,87.829765,89.15925,87.47449,89.029945,90.54336,87.21677,84.11388,0.0,42.119934,-0.0001919952,-36.205925,19.65863,-7.6812367,7.4179006,2.4770324,112.62819,22.215729,39.221706,9.611497,12.932743,8.121347,0.0,0.0,0.0,0.49559638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.405426,84.405426,87.52869,88.864494,87.231865,88.7756,90.28784,87.00641,83.88623,0.0,41.8173,-0.00019009801,-32.609673,19.311113,-5.9712,7.8482127,2.871231,102.949196,20.213083,36.0564,8.046149,12.031627,7.7746415,0.0,0.0,0.0,0.5327187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.13339,84.13339,87.252914,88.619835,86.98447,88.53008,90.04475,86.78347,83.66566,0.0,41.540672,-0.00018856653,-31.724602,17.515812,-6.272119,6.930969,2.8199472,97.32107,18.966515,33.87385,7.978414,11.308287,7.4384856,0.0,0.0,0.0,0.58280337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.87368,83.87368,86.99129,88.34676,86.713196,88.25923,89.77374,86.49176,83.39425,0.0,41.27917,-0.00018817934,-31.263424,18.193666,-6.3382583,6.9942446,2.3423674,98.15386,19.55971,34.551327,7.8882055,11.915312,7.4461384,0.0,0.0,0.0,0.61650705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.60285,83.60285,86.72713,88.07031,86.43878,87.984566,89.50045,86.1924,83.080414,0.0,41.01543,-0.00018779412,-32.8453,18.898146,-6.2987723,6.425988,2.6902156,100.95672,19.740778,35.309666,7.748508,12.622477,7.9681544,0.0,0.0,0.0,0.61127627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.31109,83.31109,86.45374,87.76784,86.084206,87.63884,89.15548,85.79402,82.66859,0.0,40.744156,-0.00018624615,-36.907185,20.48376,-7.5726027,6.095582,2.9821348,114.09092,22.709135,40.197563,9.479431,13.78829,8.788562,0.0,0.0,0.0,0.59430546,0.0,0.0,0.4249901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.993904,82.993904,86.14493,87.391594,85.70993,87.25065,88.76001,85.38389,82.22788,0.0,40.43759,-0.00018507957,-38.635143,23.808535,-5.459909,8.835335,3.5691526,126.78937,25.14503,45.03513,10.17941,14.683611,9.3963585,0.0,0.0,0.0,0.5258889,0.0,0.0,0.4955515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
