model,network,file,config,node,recall,f1_score,delay,TP,TN,FP,FN,event_missed,false_alarm
AE,CY,all_results_dist1028_AUTOENCODER.pkl,AUTOENCODER,dist1028,0.8274044795783926,0.905551550108147,131,628,770,0,131,0,0
AE,CY,all_results_dist1028_AUTOENCODER.pkl,AUTOENCODER2,dist1028,0.0,0.0,1095,0,434,0,1095,1,0
AE,CY,all_results_dist1028_AUTOENCODER.pkl,AUTOENCODER3,dist1028,0.9699792960662525,0.9847609038360483,29,937,563,0,29,0,0
AE,CY,all_results_dist1028_AUTOENCODER.pkl,AUTOENCODER4,dist1028,0.0,0.0,1062,0,467,0,1062,1,0
AE,CY,all_results_dist1028_AUTOENCODER.pkl,AUTOENCODER5,dist1028,1.0,0.9587426326129665,0,976,469,84,0,0,1
AE,CY,all_results_dist1332_AUTOENCODER.pkl,AUTOENCODER,dist1332,0.0,0.0,757,0,772,0,757,1,0
AE,CY,all_results_dist1332_AUTOENCODER.pkl,AUTOENCODER2,dist1332,0.0,0.0,1086,0,443,0,1086,1,0
AE,CY,all_results_dist1332_AUTOENCODER.pkl,AUTOENCODER3,dist1332,0.0,0.0,961,0,568,0,961,1,0
AE,CY,all_results_dist1332_AUTOENCODER.pkl,AUTOENCODER4,dist1332,0.0,0.0,1060,0,469,0,1060,1,0
AE,CY,all_results_dist1332_AUTOENCODER.pkl,AUTOENCODER5,dist1332,0.0,0.0,970,0,559,0,970,1,0
AE,CY,all_results_dist1363_AUTOENCODER.pkl,AUTOENCODER,dist1363,1.0,0.6719787516600265,0,759,29,741,0,0,1
AE,CY,all_results_dist1363_AUTOENCODER.pkl,AUTOENCODER2,dist1363,0.0,0.0,1094,0,435,0,1094,1,0
AE,CY,all_results_dist1363_AUTOENCODER.pkl,AUTOENCODER3,dist1363,0.968944099378882,0.9842271293375394,30,936,563,0,30,0,0
AE,CY,all_results_dist1363_AUTOENCODER.pkl,AUTOENCODER4,dist1363,0.0,0.0,1062,0,467,0,1062,1,0
AE,CY,all_results_dist1363_AUTOENCODER.pkl,AUTOENCODER5,dist1363,1.0,0.8410168031021111,0,976,184,369,0,0,1
AE,CY,all_results_dist1459_AUTOENCODER.pkl,AUTOENCODER,dist1459,1.0,0.755223880597015,0,759,278,492,0,0,1
AE,CY,all_results_dist1459_AUTOENCODER.pkl,AUTOENCODER2,dist1459,0.0,0.0,1093,0,436,0,1093,1,0
AE,CY,all_results_dist1459_AUTOENCODER.pkl,AUTOENCODER3,dist1459,0.968944099378882,0.9842271293375394,30,936,563,0,30,0,0
AE,CY,all_results_dist1459_AUTOENCODER.pkl,AUTOENCODER4,dist1459,0.0,0.0,1062,0,467,0,1062,1,0
AE,CY,all_results_dist1459_AUTOENCODER.pkl,AUTOENCODER5,dist1459,0.9702868852459017,0.984919396775871,29,947,553,0,29,0,0
AE,CY,all_results_dist1464_AUTOENCODER.pkl,AUTOENCODER,dist1464,1.0,0.6825539568345323,0,759,64,706,0,0,1
AE,CY,all_results_dist1464_AUTOENCODER.pkl,AUTOENCODER2,dist1464,0.0,0.0,1092,0,437,0,1092,1,0
AE,CY,all_results_dist1464_AUTOENCODER.pkl,AUTOENCODER3,dist1464,0.9699792960662525,0.9847609038360483,29,937,563,0,29,0,0
AE,CY,all_results_dist1464_AUTOENCODER.pkl,AUTOENCODER4,dist1464,0.0,0.0,1062,0,467,0,1062,1,0
AE,CY,all_results_dist1464_AUTOENCODER.pkl,AUTOENCODER5,dist1464,0.9682377049180327,0.9838625715773035,31,945,553,0,31,0,0
AE,CY,all_results_dist1915_AUTOENCODER.pkl,AUTOENCODER,dist1915,1.0,0.748753738783649,0,751,274,504,0,0,1
AE,CY,all_results_dist1915_AUTOENCODER.pkl,AUTOENCODER2,dist1915,0.0,0.0,1079,0,450,0,1079,1,0
AE,CY,all_results_dist1915_AUTOENCODER.pkl,AUTOENCODER3,dist1915,0.0,0.0,955,0,574,0,955,1,0
AE,CY,all_results_dist1915_AUTOENCODER.pkl,AUTOENCODER4,dist1915,0.8961284230406044,0.9452191235059761,110,949,470,0,110,0,0
AE,CY,all_results_dist1915_AUTOENCODER.pkl,AUTOENCODER5,dist1915,0.0,0.0,965,0,564,0,965,1,0
AE,CY,all_results_dist356_AUTOENCODER.pkl,AUTOENCODER,dist356,0.9616402116402116,0.9804450438300741,29,727,773,0,29,0,0
AE,CY,all_results_dist356_AUTOENCODER.pkl,AUTOENCODER2,dist356,0.0,0.0,1089,0,440,0,1089,1,0
AE,CY,all_results_dist356_AUTOENCODER.pkl,AUTOENCODER3,dist356,0.9625779625779626,0.9809322033898306,36,926,567,0,36,0,0
AE,CY,all_results_dist356_AUTOENCODER.pkl,AUTOENCODER4,dist356,0.0,0.0,1060,0,469,0,1060,1,0
AE,CY,all_results_dist356_AUTOENCODER.pkl,AUTOENCODER5,dist356,1.0,0.7859166329421287,0,971,29,529,0,0,1
AE,CY,all_results_dist399_AUTOENCODER.pkl,AUTOENCODER,dist399,1.0,0.6858710562414266,0,750,92,687,0,0,1
AE,CY,all_results_dist399_AUTOENCODER.pkl,AUTOENCODER2,dist399,0.0,0.0,1081,0,448,0,1081,1,0
AE,CY,all_results_dist399_AUTOENCODER.pkl,AUTOENCODER3,dist399,0.0,0.0,954,0,575,0,954,1,0
AE,CY,all_results_dist399_AUTOENCODER.pkl,AUTOENCODER4,dist399,0.0,0.0,1056,0,473,0,1056,1,0
AE,CY,all_results_dist399_AUTOENCODER.pkl,AUTOENCODER5,dist399,0.0,0.0,963,0,566,0,963,1,0
AE,CY,all_results_dist485_AUTOENCODER.pkl,AUTOENCODER,dist485,0.9336870026525199,0.9657064471879286,50,704,775,0,50,0,0
AE,CY,all_results_dist485_AUTOENCODER.pkl,AUTOENCODER2,dist485,0.0,0.0,1086,0,443,0,1086,1,0
AE,CY,all_results_dist485_AUTOENCODER.pkl,AUTOENCODER3,dist485,0.0,0.0,960,0,569,0,960,1,0
AE,CY,all_results_dist485_AUTOENCODER.pkl,AUTOENCODER4,dist485,0.0,0.0,1060,0,469,0,1060,1,0
AE,CY,all_results_dist485_AUTOENCODER.pkl,AUTOENCODER5,dist485,0.0,0.0,969,0,560,0,969,1,0
AE,CY,all_results_dist606_AUTOENCODER.pkl,AUTOENCODER,dist606,0.7843915343915344,0.8791697553743514,163,593,773,0,163,0,0
AE,CY,all_results_dist606_AUTOENCODER.pkl,AUTOENCODER2,dist606,0.0,0.0,1088,0,441,0,1088,1,0
AE,CY,all_results_dist606_AUTOENCODER.pkl,AUTOENCODER3,dist606,0.0,0.0,961,0,568,0,961,1,0
AE,CY,all_results_dist606_AUTOENCODER.pkl,AUTOENCODER4,dist606,0.0,0.0,1061,0,468,0,1061,1,0
AE,CY,all_results_dist606_AUTOENCODER.pkl,AUTOENCODER5,dist606,0.0,0.0,971,0,558,0,971,1,0
